Results from: System
ROUGE-1: 0.23392 0.26554 0.2477
ROUGE-2: 0.05852 0.06565 0.06173
ROUGE-3: 0.02067 0.02317 0.02182
ROUGE-4: 0.00833 0.00932 0.00879

Results from: System_reordered
ROUGE-1: 0.23392 0.26554 0.2477
ROUGE-2: 0.05852 0.06565 0.06173
ROUGE-3: 0.02067 0.02317 0.02182
ROUGE-4: 0.00833 0.00932 0.00879

Results from: MEAD Standard
ROUGE-1: 0.22031 0.22452 0.22153
ROUGE-2: 0.05288 0.05353 0.053
ROUGE-3: 0.01412 0.01394 0.01399
ROUGE-4: 0.00474 0.00454 0.00462

Results from: MEAD Initial
ROUGE-1: 0.21809 0.20832 0.21235
ROUGE-2: 0.04422 0.04246 0.04315
ROUGE-3: 0.00918 0.00898 0.00904
ROUGE-4: 0.0023 0.00228 0.00228

Results from: MEAD Random
ROUGE-1: 0.15628 0.17465 0.16405
ROUGE-2: 0.02851 0.03144 0.02973
ROUGE-3: 0.00775 0.00832 0.008
ROUGE-4: 0.00277 0.00301 0.00287

